TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1278362005884210;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278362205902940;6;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278362305875940;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278362339122710;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278362372443210;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278363338851940;8;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364271933670;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364338580900;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364371909900;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364438576670;6;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364471874170;6;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364638574900;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278364938423900;7;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278365504932900;9;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278365538252630;8;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278365638313900;9;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278367371095360;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278367704333090;9;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278368470797090;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278368604087090;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278368637418590;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278368704061320;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278368904014820;9;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278369037311820;9;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278369170610820;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278369870486550;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278369903738050;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278369937063320;10;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278371469974780;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278371769903280;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278371836542280;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278371903187010;11;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278372802949010;0;0;19990000;-20;100;1;0.58729833;7.757999999999999
1278373202842010;14;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278373269584740;12;100;19990000;-20;100;1;0.58729833;7.757999999999999
1278373736031740;13;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278374269214740;13;100;19990000;-20;100;1;0.8742884;7.757999999999999
