TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135048088222100;4;100;24999000;-4;437;1;17.036.726;3.0
135048121083559;4;100;24999000;-4;437;1;17.036.726;3.0
135048154844496;4;100;24999000;-4;437;1;17.036.726;3.0
135048189739809;4;100;24999000;-4;437;1;17.036.726;3.0
135048221517413;6;100;24999000;-4;437;1;17.036.726;3.0
135048254192934;5;100;24999000;-4;437;1;17.036.726;3.0
135048288396579;4;100;24999000;-4;437;1;17.036.726;3.0
135048321935642;4;100;24999000;-4;437;1;17.036.726;3.0
135048355431475;3;100;24999000;-4;437;1;17.036.726;3.0
135048387399704;4;100;24999000;-4;437;1;17.036.726;3.0
135048422038246;5;100;24999000;-4;437;1;17.036.726;3.0
135048455583038;4;100;24999000;-4;437;1;17.036.726;3.0
135048488381475;4;100;24999000;-4;437;1;17.036.726;3.0
135048521897621;4;100;24999000;-4;437;1;17.036.726;3.0
135048554681996;5;100;24999000;-4;437;1;17.036.726;3.0
135048587754913;4;100;24999000;-4;437;1;17.036.726;3.0
135048621129913;5;100;24999000;-4;437;1;17.036.726;3.0
135048654430434;3;100;24999000;-4;437;1;17.036.726;3.0
135048689146059;7;100;24999000;-4;437;1;17.036.726;3.0
135048721286684;5;100;24999000;-4;437;1;17.036.726;3.0
135048756116892;5;100;24999000;-4;437;1;17.036.726;3.0
135048788068454;3;100;24999000;-4;437;1;17.036.726;3.0
135048820797621;4;100;24999000;-4;437;1;17.036.726;3.0
135048855034079;5;100;24999000;-4;437;1;17.036.726;3.0
135048887343975;5;100;24999000;-4;437;1;17.036.726;3.0
135048921350225;4;100;24999000;-4;437;1;17.036.726;3.0
135048955057517;4;100;24999000;-4;437;1;17.036.726;3.0
135048989391892;4;100;24999000;-4;437;1;17.036.726;3.0
135049022145538;5;100;24999000;-4;437;1;17.036.726;3.0
135049055821579;0;0;24999000;-4;437;1;17.036.726;3.0
135049087627829;0;0;24999000;-4;437;1;17.036.726;3.0
135049121009079;5;100;24999000;-4;437;1;17.036.726;3.0
135049153949704;6;100;24999000;-4;437;1;17.036.726;3.0
135049186955434;3;100;24999000;-4;437;1;17.036.726;3.0
135049220848663;4;100;24999000;-4;437;1;17.036.726;3.0
135049253560121;4;100;24999000;-4;437;1;17.036.726;3.0
135049287453350;4;100;24999000;-4;437;1;17.036.726;3.0
135049320592413;4;100;24999000;-4;437;1;17.036.726;3.0
135049354242934;4;100;24999000;-4;437;1;17.036.726;3.0
135049387424183;4;100;24999000;-4;437;1;17.036.726;3.0
135049420112725;3;100;24999000;-4;437;1;17.036.726;3.0
135049453234079;3;100;24999000;-4;437;1;17.036.726;3.0
135049486911163;5;100;24999000;-4;437;1;17.036.726;3.0
135049519890850;4;100;24999000;-4;437;1;17.036.726;3.0
135049553454913;4;100;24999000;-4;437;1;17.036.726;3.0
135049585956996;3;100;24999000;-4;437;1;17.036.726;3.0
135049620191371;3;100;24999000;-4;437;1;17.036.726;3.0
135049652812725;5;100;24999000;-4;437;1;17.036.726;3.0
135049686789288;4;100;24999000;-4;437;1;17.036.726;3.0
135049720225746;4;100;24999000;-4;437;1;17.036.726;3.0
135049753785121;4;100;24999000;-4;437;1;17.036.726;3.0
135049786110121;4;100;24999000;-4;437;1;17.036.726;3.0
135049820271579;4;100;24999000;-4;437;1;17.036.726;3.0
135049853590850;6;100;24999000;-4;437;1;17.036.726;3.0
135049886607517;4;100;24999000;-4;437;1;17.036.726;3.0
135049919406996;3;100;24999000;-4;437;1;17.036.726;3.0
135049954052829;6;100;24999000;-4;437;1;17.036.726;3.0
135049986483558;5;100;24999000;-4;437;1;17.036.726;3.0
135050023226267;4;100;24999000;-4;437;1;17.036.726;3.0
135050054328350;4;100;24999000;-4;437;1;17.036.726;3.0
135050086808038;4;100;24999000;-4;437;1;17.036.726;3.0
135050119539288;2;100;24999000;-4;437;1;17.036.726;3.0
135050161093454;0;0;24999000;-4;437;1;17.036.726;3.0
135050186507517;0;0;24999000;-4;437;1;17.036.726;3.0
135050222177829;7;100;24999000;-4;437;1;17.036.726;3.0
135050253383558;5;100;24999000;-4;437;1;17.036.726;3.0
135050286571058;5;100;24999000;-4;437;1;17.036.726;3.0
135050320359600;5;100;24999000;-4;437;1;17.036.726;3.0
135050354111683;5;100;24999000;-4;437;1;17.036.726;3.0
135050385742413;5;100;24999000;-4;437;1;17.036.726;3.0
135050419490850;3;100;24999000;-4;437;1;17.036.726;3.0
135050453139288;5;100;24999000;-4;437;1;17.036.726;3.0
135050486666371;4;100;24999000;-4;437;1;17.036.726;3.0
135050519256475;4;100;24999000;-4;437;1;17.036.726;3.0
135050552929392;5;100;24999000;-4;437;1;17.036.726;3.0
135050586641892;5;100;24999000;-4;437;1;17.036.726;3.0
135050619495537;5;100;24999000;-4;437;1;17.036.726;3.0
