TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1269748494960300;19990000;-19;100;1;12.830.445;4.806
1269748528393680;19990000;-19;100;1;12.830.445;4.806
1269748561608450;19990000;-19;100;1;12.830.445;4.806
1269748594947990;19990000;-19;100;1;12.830.445;4.806
1269748628266610;19990000;-19;100;1;12.830.445;4.806
1269748661569030;19990000;-19;100;1;12.830.445;4.806
1269748694897450;19990000;-19;100;1;12.830.445;4.806
1269748728237070;19990000;-19;100;1;12.830.445;4.806
1269748761562840;19990000;-19;100;1;12.830.445;4.806
1269748794878070;19990000;-19;100;1;12.830.445;4.806
1269748828200840;19990000;-19;100;1;12.830.445;4.806
1269748861529570;19990000;-19;100;1;12.830.445;4.806
1269748894859800;19990000;-19;100;1;12.830.445;4.806
1269748928176070;19990000;-19;100;1;12.830.445;4.806
1269748961506070;19990000;-19;100;1;12.830.445;4.806
1269748994830530;19990000;-19;100;1;12.830.445;4.806
1269749028158260;19990000;-19;100;1;12.830.445;4.806
1269749061475300;19990000;-19;100;1;12.830.445;4.806
1269749094796220;19990000;-19;100;1;12.830.445;4.806
1269749128156840;19990000;-19;100;1;12.830.445;4.806
1269749161451950;19990000;-19;100;1;12.830.445;4.806
1269749194766180;19990000;-19;100;1;12.830.445;4.806
1269749228095110;19990000;-19;100;1;12.830.445;4.806
1269749261425680;19990000;-19;100;1;12.830.445;4.806
1269749294763490;19990000;-19;100;1;12.830.445;4.806
1269749328066880;19990000;-19;100;1;12.830.445;4.806
1269749361400650;19990000;-19;100;1;12.830.445;4.806
1269749394716880;19990000;-19;100;1;12.830.445;4.806
1269749428035920;19990000;-19;100;1;12.830.445;4.806
1269749461365530;19990000;-19;100;1;12.830.445;4.806
1269749494710650;19990000;-19;100;1;12.830.445;4.806
1269749528019650;19990000;-19;100;1;12.830.445;4.806
1269749561349840;19990000;-19;100;1;12.830.445;4.806
1269749594668300;19990000;-19;100;1;12.830.445;4.806
1269749627986490;19990000;-19;100;1;12.830.445;4.806
1269749661308650;19990000;-19;100;1;12.830.445;4.806
1269749694636150;19990000;-19;100;1;12.830.445;4.806
1269749727962720;19990000;-19;100;1;12.830.445;4.806
1269749761282380;19990000;-19;100;1;12.830.445;4.806
1269749794615410;19990000;-19;100;1;12.830.445;4.806
1269749827965610;19990000;-19;100;1;12.830.445;4.806
1269749861261450;19990000;-19;100;1;12.830.445;4.806
1269749894581800;19990000;-19;100;1;12.830.445;4.806
1269749928123990;19990000;-19;100;1;12.830.445;4.806
1269749961327070;19990000;-19;100;1;12.830.445;4.806
1269749994560800;19990000;-19;100;1;12.830.445;4.806
1269750027893570;19990000;-19;100;1;12.830.445;4.806
1269750061346300;19990000;-19;100;1;12.830.445;4.806
1269750094535800;19990000;-19;100;1;12.830.445;4.806
1269750127931760;19990000;-19;100;1;12.830.445;4.806
1269750161291450;19990000;-19;100;1;12.830.445;4.806
1269750194502650;19990000;-19;100;1;12.830.445;4.806
1269750227849760;19990000;-19;100;1;12.830.445;4.806
1269750261221570;19990000;-19;100;1;12.830.445;4.806
1269750294477150;19990000;-19;100;1;12.830.445;4.806
1269750327929910;19990000;-19;100;1;12.830.445;4.806
1269750361172720;19990000;-19;100;1;12.830.445;4.806
1269750394449760;19990000;-19;100;1;12.830.445;4.806
1269750427765300;19990000;-19;100;1;12.830.445;4.806
1269750461133530;19990000;-19;100;1;12.830.445;4.806
1269750494412340;19990000;-19;100;1;12.830.445;4.806
1269750527742880;19990000;-19;100;1;12.830.445;4.806
1269750561112030;19990000;-19;100;1;12.830.445;4.806
1269750594391840;19990000;-19;100;1;12.830.445;4.806
1269750627746990;19990000;-19;100;1;12.830.445;4.806
1269750661040220;19990000;-19;100;1;12.830.445;4.806
1269750694363260;19990000;-19;100;1;12.830.445;4.806
1269750727823800;19990000;-19;100;1;12.830.445;4.806
1269750761092990;19990000;-19;100;1;12.830.445;4.806
1269750794392840;19990000;-19;100;1;12.830.445;4.806
1269750827735300;19990000;-19;100;1;12.830.445;4.806
1269750860987910;19990000;-19;100;1;12.830.445;4.806
1269750894323640;19990000;-19;100;1;12.830.445;4.806
1269750927631950;19990000;-19;100;1;12.830.445;4.806
1269750960958720;19990000;-19;100;1;12.830.445;4.806
1269750994325070;19990000;-19;100;1;12.830.445;4.806
1269751027605340;19990000;-19;100;1;12.830.445;4.806
1269751060939760;19990000;-19;100;1;12.830.445;4.806
1269751094258260;19990000;-19;100;1;12.830.445;4.806
1269751127584340;19990000;-19;100;1;12.830.445;4.806
1269751160935880;19990000;-19;100;1;12.830.445;4.806
1269751194232260;19990000;-19;100;1;12.830.445;4.806
1269751227682490;19990000;-19;100;1;12.830.445;4.806
1269751260889180;19990000;-19;100;1;12.830.445;4.806
1269751294201720;19990000;-19;100;1;12.830.445;4.806
1269751327540140;19990000;-19;100;1;12.830.445;4.806
1269751360967220;19990000;-19;100;1;12.830.445;4.806
1269751394180640;19990000;-19;100;1;12.830.445;4.806
1269751427547640;19990000;-19;100;1;12.830.445;4.806
1269751460861990;19990000;-19;100;1;12.830.445;4.806
1269751494146340;19990000;-19;100;1;12.830.445;4.806
1269751527476140;19990000;-19;100;1;12.830.445;4.806
1269751560900680;19990000;-19;100;1;12.830.445;4.806
1269751594128530;19990000;-19;100;1;12.830.445;4.806
1269751627451030;19990000;-19;100;1;12.830.445;4.806
1269751660768950;19990000;-19;100;1;12.830.445;4.806
1269751694181030;19990000;-19;100;1;12.830.445;4.806
1269751727614450;19990000;-19;100;1;12.830.445;4.806
1269751760734640;19990000;-19;100;1;12.830.445;4.806
1269751794156260;19990000;-19;100;1;12.830.445;4.806
1269751827484490;19990000;-19;100;1;12.830.445;4.806
1269751860775950;19990000;-19;100;1;12.830.445;4.806
1269751894051260;19990000;-19;100;1;12.830.445;4.806
1269751927491950;19990000;-19;100;1;12.830.445;4.806
1269751960813870;19990000;-19;100;1;12.830.445;4.806
1269751994007950;19990000;-19;100;1;12.830.445;4.806
1269752027343610;19990000;-19;100;1;12.830.445;4.806
1269752060732030;19990000;-19;100;1;12.830.445;4.806
1269752093997640;19990000;-19;100;1;12.830.445;4.806
1269752127305640;19990000;-19;100;1;12.830.445;4.806
1269752160712680;19990000;-19;100;1;12.830.445;4.806
1269752193973450;19990000;-19;100;1;12.830.445;4.806
1269752227292180;19990000;-19;100;1;12.830.445;4.806
1269752260704030;19990000;-19;100;1;12.830.445;4.806
1269752293937340;19990000;-19;100;1;12.830.445;4.806
1269752327340760;19990000;-19;100;1;12.830.445;4.806
1269752360585680;19990000;-19;100;1;12.830.445;4.806
1269752393901570;19990000;-19;100;1;12.830.445;4.806
1269752427220370;19990000;-19;100;1;12.830.445;4.806
1269752460662680;19990000;-19;100;1;12.830.445;4.806
1269752493882840;19990000;-19;100;1;12.830.445;4.806
1269752527309300;19990000;-19;100;1;12.830.445;4.806
1269752560630680;19990000;-19;100;1;12.830.445;4.806
1269752593859410;19990000;-19;100;1;12.830.445;4.806
1269752627166800;19990000;-19;100;1;12.830.445;4.806
1269752660509340;19990000;-19;100;1;12.830.445;4.806
1269752693825910;19990000;-19;100;1;12.830.445;4.806
1269752727226910;19990000;-19;100;1;12.830.445;4.806
1269752760476530;19990000;-19;100;1;12.830.445;4.806
1269752793793180;19990000;-19;100;1;12.830.445;4.806
1269752827124490;19990000;-19;100;1;12.830.445;4.806
1269752860440100;19990000;-19;100;1;12.830.445;4.806
1269752893763410;19990000;-19;100;1;12.830.445;4.806
1269752927094950;19990000;-19;100;1;12.830.445;4.806
1269752960516340;19990000;-19;100;1;12.830.445;4.806
1269752993736300;19990000;-19;100;1;12.830.445;4.806
1269753027175490;19990000;-19;100;1;12.830.445;4.806
1269753060387260;19990000;-19;100;1;12.830.445;4.806
1269753093754680;19990000;-19;100;1;12.830.445;4.806
1269753127200100;19990000;-19;100;1;12.830.445;4.806
1269753160529370;19990000;-19;100;1;12.830.445;4.806
1269753193787300;19990000;-19;100;1;12.830.445;4.806
1269753227150530;19990000;-19;100;1;12.830.445;4.806
1269753260437300;19990000;-19;100;1;12.830.445;4.806
1269753293656490;19990000;-19;100;1;12.830.445;4.806
1269753327099410;19990000;-19;100;1;12.830.445;4.806
1269753360310100;19990000;-19;100;1;12.830.445;4.806
1269753393738300;19990000;-19;100;1;12.830.445;4.806
1269753427075370;19990000;-19;100;1;12.830.445;4.806
1269753460380800;19990000;-19;100;1;12.830.445;4.806
1269753493708530;19990000;-19;100;1;12.830.445;4.806
1269753527042570;19990000;-19;100;1;12.830.445;4.806
1269753560356490;19990000;-19;100;1;12.830.445;4.806
1269753593578800;19990000;-19;100;1;12.830.445;4.806
1269753626992370;19990000;-19;100;1;12.830.445;4.806
1269753660218490;19990000;-19;100;1;12.830.445;4.806
1269753693550870;19990000;-19;100;1;12.830.445;4.806
1269753726857220;19990000;-19;100;1;12.830.445;4.806
1269753760193300;19990000;-19;100;1;12.830.445;4.806
1269753793510410;19990000;-19;100;1;12.830.445;4.806
1269753826919600;19990000;-19;100;1;12.830.445;4.806
1269753860276140;19990000;-19;100;1;12.830.445;4.806
1269753893602760;19990000;-19;100;1;12.830.445;4.806
1269753926936680;19990000;-19;100;1;12.830.445;4.806
1269753960249800;19990000;-19;100;1;12.830.445;4.806
1269753993464260;19990000;-19;100;1;12.830.445;4.806
1269754026899450;19990000;-19;100;1;12.830.445;4.806
1269754060229490;19990000;-19;100;1;12.830.445;4.806
1269754093446300;19990000;-19;100;1;12.830.445;4.806
1269754126856030;19990000;-19;100;1;12.830.445;4.806
1269754160143800;19990000;-19;100;1;12.830.445;4.806
1269754193414030;19990000;-19;100;1;12.830.445;4.806
1269754226737950;19990000;-19;100;1;12.830.445;4.806
1269754260063530;19990000;-19;100;1;12.830.445;4.806
1269754293388410;19990000;-19;100;1;12.830.445;4.806
1269754326713950;19990000;-19;100;1;12.830.445;4.806
1269754360033910;19990000;-19;100;1;12.830.445;4.806
1269754393371950;19990000;-19;100;1;12.830.445;4.806
1269754426695950;19990000;-19;100;1;12.830.445;4.806
1269754460006100;19990000;-19;100;1;12.830.445;4.806
1269754493345600;19990000;-19;100;1;12.830.445;4.806
1269754526652800;19990000;-19;100;1;12.830.445;4.806
1269754559983450;19990000;-19;100;1;12.830.445;4.806
1269754593300990;19990000;-19;100;1;12.830.445;4.806
1269754626635450;19990000;-19;100;1;12.830.445;4.806
1269754659989530;19990000;-19;100;1;12.830.445;4.806
1269754693377760;19990000;-19;100;1;12.830.445;4.806
1269754726636870;19990000;-19;100;1;12.830.445;4.806
1269754760006800;19990000;-19;100;1;12.830.445;4.806
1269754793246220;19990000;-19;100;1;12.830.445;4.806
1269754826684950;19990000;-19;100;1;12.830.445;4.806
1269754860009910;19990000;-19;100;1;12.830.445;4.806
1269754893324870;19990000;-19;100;1;12.830.445;4.806
1269754926582450;19990000;-19;100;1;12.830.445;4.806
1269754959978560;19990000;-19;100;1;12.830.445;4.806
1269754993206060;19990000;-19;100;1;12.830.445;4.806
1269755026635680;19990000;-19;100;1;12.830.445;4.806
1269755059977950;19990000;-19;100;1;12.830.445;4.806
1269755093213720;19990000;-19;100;1;12.830.445;4.806
1269755126501870;19990000;-19;100;1;12.830.445;4.806
1269755159924870;19990000;-19;100;1;12.830.445;4.806
1269755193152870;19990000;-19;100;1;12.830.445;4.806
1269755226549640;19990000;-19;100;1;12.830.445;4.806
1269755259911180;19990000;-19;100;1;12.830.445;4.806
1269755293252760;19990000;-19;100;1;12.830.445;4.806
1269755326535060;19990000;-19;100;1;12.830.445;4.806
1269755359879220;19990000;-19;100;1;12.830.445;4.806
1269755393119910;19990000;-19;100;1;12.830.445;4.806
1269755426414800;19990000;-19;100;1;12.830.445;4.806
1269755459790100;19990000;-19;100;1;12.830.445;4.806
1269755493065910;19990000;-19;100;1;12.830.445;4.806
1269755526382870;19990000;-19;100;1;12.830.445;4.806
1269755559709410;19990000;-19;100;1;12.830.445;4.806
